,상호명
295,롯데리아 이수역점
296,이모네막국수
297,제줏간 이수점
298,어부의딸
299,에이바우트커피 이수점
300,외양간
301,럭키갈비찜
302,당산오돌 사당점
303,겁없는토끼부엌
304,크래프트한스 사당점
305,바다해물포차
306,키친피콜로
307,오감쭈꾸미
308,뚜레쥬르 사당시티점
309,헝그리곰바
310,스타벅스 방배카페거리점
311,파리바게뜨 이수태평점
312,이수오뎅
313,꿈꾸는크루아상
314,참숯고깃골
315,제주어항1950
316,유정오리닭한방백숙
317,싸다김밥 이수역점
318,품앗이
319,따올라이
320,분코
321,슬로우캘리 사당이수점
322,리얼양꼬치
323,진코다리와황태
324,배스킨라빈스 이수역점
325,올웨이즈온
326,미드나잇키친 이수점
327,이태리상회
328,홍콩참치만두
329,무안수산
330,카페코드
331,시너리 이수점
332,동래모듬전
333,꽃다운주점 이수점
334,상아김밥 이수점
335,아는포차
336,이수면가
337,원양참치
338,원조부안집 남성점
339,나인피스그릴
340,미테이
341,홍콩반점0410 이수역점
342,쩡곱도리탕
343,더풍년 이수점
344,이디야커피 총신대입구역점
345,세시파스타
346,파리바게뜨 방배현대점
347,공평동 꼼장어 이수점
348,빽다방 총신대입구역점
349,천사곱창이수점
350,황제소고기국밥
351,땡초우동 사당직영2호점
352,샌드리아 이수역점
353,우리황소곱창
354,얌리마카롱
355,너땜에한잔
356,태평아구찜
357,남오토코 이수역점
358,일출횟집
359,논고을 사당점
360,남산터 이수점
361,힘찬정육식당 사당역직영점
362,고반식당 이수역점
363,이누식당
364,택이네조개전골 사당점
365,메가MGC커피 이수태평점
366,찐네빵공장
367,놀이터
368,박은자맛사랑
369,원할머니보쌈족발 이수역점
370,김가네칼국수
371,BHC치킨 이수점
372,비엔나커피하우스 방배점
373,참소예 이수
374,알라보 이수역점
375,상도늘보리 이수점
376,미고삼
377,누룽지통닭굼터
378,김채원24시감자탕
379,신미경의정통춘천닭갈비
380,바다회세꼬시
381,곰집
382,진갈비
383,동대문엽기떡볶이 이수역점
384,담소소사골순대육개장 이수역점
385,반
386,다리원
387,토모야
388,놀란돼지 이수점
389,영동돈까스
390,쏘맥의달인
391,남희회포장마차
392,서초면옥 본점
393,이수치막
394,시올돈
395,종부네
396,바른고기정육점 서래마을본점
397,노랑통닭 이수점
398,송이족발 본점
399,카페아뜰리에
400,족발의발견
401,김봉남포장마차 사당역1호점
402,오뎅판다 이수역점
403,은연가보쌈 사당본점
404,후지스시
405,바오로흑염소농장
406,우리집정육식당
407,해남원조김밥
408,청년치킨 사당점
409,퀸즈파크 서래점
410,스바루
411,김종구의참치박사
412,리요리요커피
413,강원도감자탕쌈밥
414,놀숲 이수역점
415,이수짜장
416,만랩커피 이수역점
417,청정동해
418,원산사철탕
419,물음표
420,이고집쭈꾸미 사당직영점
421,사당김밥 이수점
422,가가멜식당
423,육쌈냉면 이수점
424,융선 사당2호점
425,바른치킨 이수역점
426,마초셰프
427,경복궁 사당점
428,돌담
429,맘스터치 이수점
430,주식회사 수담식품관
431,이수정육식당
432,최성필소금구이
433,꿈꾸는다락방
434,속초오징어어시장 사당점
435,스마일포차
436,백호양대창 이수점
437,교촌치킨 사당1호점
438,미인참치
439,스시이로하
440,텐퍼센트커피 이수역점
441,박가네소문난전집
442,팬사이
443,명인등심 방배점
444,장수촌풍천장어직판장
445,레코드피맥
446,신셰프양꼬치&훠궈 남현동1호점
447,베이크샵 피봇
448,육감 방배본점
449,라밥 이수2호점
450,정정아식당 이수역점
451,사당아바이순대국해장국
452,공차 이수점
453,참새방앗간
454,타누키돈부리 이수역점
455,투썸플레이스 내방역점
456,이슬도둑
457,커피사회
458,광주집순대국
459,BBQ 사당점
460,도우룸
461,본죽 사당점
462,파아람
463,강릉 교동짬뽕
464,주부리
465,스시와
466,이수2정육식당
467,김명자당진동태아구찜탕
468,고향풍천장어
469,봉평메밀마당 이수역점
470,한솥도시락 이수역서문여고점
471,대연양꼬치
472,올레요회센터
473,스타벅스 사당로데오점
474,윤공
475,백미당 서송타워점
476,신채정샤브수끼칼국수
477,이수가
478,꼼 이수본점
479,뽕잎사랑 이수점
480,양모리
481,동성양꼬치
482,심비디움2 사당점
483,미스터힐링 이수역점
484,홍천숯불닭갈비
485,맛있는뎅
486,뉴욕야시장 이수역점
487,푸슈
488,아트메이저
489,생생돈까스 사당방배점
490,오리촌
491,갈비제작소
492,투썸플레이스 방배이수점
493,매드포갈릭 사당점
494,이수살롱
495,한앤둘치킨호프 이수역직영점
496,매드포갈릭 사당점
497,민속떡집
498,전원일기
499,고양이부엌 방배사이길점
