,검색결과
0,0(0.20초)
1,5(0.28초)
2,1(0.19초)
3,4(0.30초)
4,5(0.25초)
5,4(0.24초)
6,0(0.23초)
7,37(0.27초)
8,4(0.25초)
9,24(0.25초)
10,0(0.19초)
11,68(0.20초)
12,4(0.24초)
13,0(0.21초)
14,0(0.17초)
15,2(0.19초)
16,5(0.24초)
17,2(0.25초)
18,3(0.32초)
19,5(0.23초)
20,4(0.24초)
21,0(0.23초)
22,4(0.21초)
23,4(0.25초)
24,0(0.20초)
25,37(0.24초)
