,cluster,perplexity_score
0,3,-13.567180104417963
1,4,-14.029897387215666
2,5,-14.464264137491554
3,6,-15.010417483769315
4,7,-15.61437799884796
5,8,-16.098045594754428
6,9,-16.72977169873889
7,10,-17.370002230374034
