,cluster,coherence_score
0,3,-6.07890001461215
1,4,-7.799941347332468
2,5,-8.786882260003882
3,6,-9.693843350377971
4,7,-10.234223582136442
5,8,-10.529654052493893
6,9,-11.39016639475407
7,10,-11.450124629419433
